Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
junit,org.junit,Assert,2485.0,0.0,71.0,17.0,0.0,0.23943661971830985
junit,org.junit,Assume,45.0,0.0,10.0,9.0,0.0,0.9
junit,org.junit,AssumptionViolatedException,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
junit,org.junit,ComparisonFailure,52.0,13.0,1.0,1.0,0.8589743589743589,0.0
junit,org.junit,ComparisonCompactor,17.0,0.0,1.0,1.0,0.7638888888888888,0.0
junit,org.junit,DiffExtractor,10.0,5.0,3.0,1.0,0.6,0.0
junit,org.junit,None,0.0,0.0,1.0,1.0,0.0,0.0
junit,org.junit,TestCouldNotBeSkippedException,0.0,0.0,1.0,1.0,0.0,0.0
junit,org.junit.experimental.categories,Categories,368.0,358.0,24.0,15.0,0.8703703703703703,0.5357142857142857
junit,org.junit.experimental.categories,CategoryFilter,180.0,170.0,16.0,8.0,0.8157894736842105,0.4
junit,org.junit.experimental.categories,CategoryFilterFactory,3.0,0.0,3.0,2.0,0.0,0.6666666666666666
junit,org.junit.experimental.categories,CategoryValidator,1.0,0.0,2.0,1.0,1.0,0.0
junit,org.junit.experimental.categories,ExcludeCategories,6.0,0.0,4.0,4.0,0.0,1.0
junit,org.junit.experimental.categories,ExcludesAny,3.0,0.0,3.0,3.0,0.0,1.0
junit,org.junit.experimental.categories,IncludeCategories,6.0,0.0,4.0,4.0,0.0,1.0
junit,org.junit.experimental.categories,IncludesAny,3.0,0.0,3.0,3.0,0.0,1.0
junit,org.junit.experimental.max,CouldNotReadCoreException,0.0,0.0,1.0,1.0,0.0,0.0
junit,org.junit.experimental.max,MaxCore,88.0,85.0,12.0,4.0,0.8461538461538461,0.2857142857142857
junit,org.junit.experimental.max,MaxHistory,130.0,124.0,12.0,6.0,0.9583333333333334,0.35294117647058826
junit,org.junit.experimental.max,RememberingListener,5.0,4.0,3.0,3.0,0.8333333333333334,0.75
junit,org.junit.experimental.max,TestComparator,1.0,0.0,2.0,1.0,0.0,0.0
junit,org.junit.experimental,ParallelComputer,19.0,10.0,2.0,1.0,0.7142857142857143,0.0
junit,org.junit.experimental.results,FailureList,0.0,0.0,1.0,1.0,-0.0,0.0
junit,org.junit.experimental.results,PrintableResult,11.0,1.0,3.0,3.0,0.3333333333333333,0.42857142857142855
